# ID	섹션	드로어 라벨	원제목  ← 섹션과 라벨만 고치면 됩니다
353	글	겨울새	겨울새
356	일	전자신문	2000 전자신문 웹사이트 UI/콘텐츠 기획
388	일	아시아나항공	2003-2005 아시아나항공 웹사이트 운영
383	글	주간동아 연재	2003 『주간동아』, 유럽 자전거 여행기 연재
392	삶	울산MBC 라디오	2003 『울산MBC 라디오』, 아침을 달린다 출연
397	글	레이디아시아나 연재	2004 『레이디아시아나』, 유럽 자전거 여행기 연재(31회)
400	일	성남아트센터	2005 성남아트센터 대표 웹사이트 신규 구축
424	삶	에이비로드	2005 『에이비로드』 서면 인터뷰
427	일	아시아나항공 프로모션	2005 아시아나항공 프로모션 사이트 구축
433	일	굿네이버스	2006 굿네이버스 웹사이트 개편 제안
703	일	성남문화재단	2006 성남문화재단 대표 웹사이트 신규 구축
440	일	대림산업 홈페이지	2006 대림산업 공식 홈페이지 개편
690	글	두 바퀴로 유럽	2006 『두 바퀴로 유럽 지도를 그리다』 출판
709	삶	북새통	2006 『북새통』 인터뷰
712	삶	월간 w.e.b.	2006 디지털매거진 『월간 w.e.b.』 인터뷰
722	삶	You First	2006 현대증권 사외보 『You First』 인터뷰
726	삶	KBS 음악편지	2006 『KBS 3 라디오』, 유지인의 음악편지 출연
729	삶	자전거 전문지	2006 자전거 전문지,  인터뷰
732	일	하늘채	2006 하늘채 브랜드 사이트 개편
736	일	코오롱건설	2006 코오롱건설 대표 웹사이트 개편
739	일	오마이뉴스	2007 오마이뉴스 대표 웹사이트 개편
750	일	현대엔지니어링	2007 현대엔지니어링 웹사이트 개편 제안
757	일	SK텔레콤 HCI	2007 SK텔레콤 HCI 프로토타입 UI 컨설팅
761	일	KT.COM	2008 KT.COM 개편 제안 및 운영
773	일	LG전자 블로그	2009-2012 LG전자 블로그 윤색
777	일	KT SNS	2009 KT SNS 구축 제안 및 운영
783	일	iSKY	2010 iSKY 대표 웹사이트 유지운영
790	일	ADT캡스	2010 ADT캡스 홈페이지 구축 제안 및 개편
794	일	르노삼성 매거진	2011 르노삼성 디지털매거진  콘텐트 제작
806	일	세아그룹 카피라이팅	2011 세아그룹 웹사이트 개편 제안 및 카피라이팅
817	일	ADT시큐리티	2011 ADT시큐리티 대표 웹사이트 개편
822	글	월간 w.e.b 기고	2011~2012 『월간 w.e.b』 기고
